"DiseaseID","DiseaseName","Description","CategoryID","ICD10_Code","RiskFactors","Prevention","Symptoms","Diagnosis"
"1","กลาก (Ringworm)","กลาก (Ringworm) คือโรคผิวหนังที่เกิดจากเชื้อรา ลักษณะของกลากมักเป็นวงกลมหรือวงรี มีขอบนูนแดงและลอกเป็นขุย บางครั้งอาจคันมาก","1","B35.9","<h3><strong>รายละเอียดของโรค</strong></h3><ul><li><p>- เกิดจากเชื้อราในกลุ่ม <strong>Dermatophytes</strong></p></li><li><p>- สามารถเกิดได้ทุกส่วนของร่างกาย เช่น หนังศีรษะ ใบหน้า แขน ขา ลำตัว เท้า (ฮ่องกงฟุต) และขาหนีบ</p></li><li><p>- พบได้ในทุกเพศทุกวัย โดยเฉพาะในสภาพอากาศร้อนชื้น</p></li><li><p></p></li><li><p></p></li></ul>","<h3><strong>ดูแล และ การป้องกัน</strong></h3><h4>การดูแลรักษา:</h4><ul><li><p>- ใช้ยาทาฆ่าเชื้อรา เช่น <strong>Clotrimazole</strong>, <strong>Ketoconazole</strong>, <strong>Terbinafine</strong></p></li><li><p>- หากรุนแรงหรือเป็นหลายแห่ง อาจต้องใช้ยารับประทาน</p></li><li><p>- รักษาความสะอาดผิวหนัง และหลีกเลี่ยงการเกา</p></li></ul><h4>การป้องกัน:</h4><ul><li><p>- อาบน้ำทุกวันและเช็ดตัวให้แห้ง โดยเฉพาะซอกพับต่าง ๆ</p></li><li><p>- หลีกเลี่ยงการใช้ของส่วนตัวร่วมกับผู้อื่น</p></li><li><p>- หมั่นซักเสื้อผ้า ผ้าเช็ดตัว และเปลี่ยนชุดชั้นในทุกวัน</p></li><li><p>- รักษาสัตว์เลี้ยงให้สะอาด ตรวจสุขภาพเป็นประจำ</p></li><li><p>- หากพบว่ามีอาการคล้ายกลาก ควรรักษาทันทีเพื่อป้องกันการแพร่เชื้อ</p></li></ul>","<h3><strong>อาการ</strong></h3><ul><li><p>- ผื่นวงกลมหรือวงรี ขอบนูนแดง ลอกเป็นขุย</p></li><li><p>- บริเวณตรงกลางอาจดูเป็นปกติหรือซีดกว่า</p></li><li><p>- คันบริเวณที่เป็นผื่น</p></li><li><p>- ในบางกรณีอาจมีตุ่มน้ำใสหรือตุ่มหนอง</p></li><li><p>- หากเป็นที่ศีรษะอาจทำให้ผมร่วงเป็นหย่อม</p></li></ul>","<h3><strong>การติดต่อ</strong></h3><ul><li><p>- สัมผัสโดยตรงกับผู้ติดเชื้อหรือสัตว์เลี้ยงที่มีเชื้อรา (เช่น แมวหรือสุนัข)</p></li><li><p>- ใช้ของร่วมกัน เช่น เสื้อผ้า ผ้าเช็ดตัว หวี หรือรองเท้า</p></li><li><p>- สัมผัสกับพื้นผิวหรือวัตถุที่มีเชื้อรา เช่น พื้นห้องน้ำ ยิม หรือฟิตเนส</p></li></ul>"
"12","ฟหก","ฟหก","2","ฟหก","<p>ฟหก</p>","<p></p>","<p></p>","<p></p>"
"14","ความดันโลหิตสูง (Hypertension)","ความดันโลหิตสูง คือ ภาวะที่ความดันโลหิตอยู่ในระดับสูงกว่าปกติอย่างต่อเนื่อง ซึ่งอาจเพิ่มความเสี่ยงต่อโรคหัวใจ หลอดเลือดสมอง ไต และโรคเรื้อรังอื่นๆ โดยมากจะไม่มีอาการในระยะแรก","1","I10","<ul><li><p><strong>รายละเอียดของโรค</strong></p></li><li><p>ความดันโลหิตปกติ: &lt; 120/80 mmHg</p></li><li><p>ความดันโลหิตสูงระดับ 1: 130–139 / 80–89 mmHg</p></li><li><p>ความดันโลหิตสูงระดับ 2: ≥ 140 / ≥ 90 mmHg</p></li><li><p>อาจเกิดจาก:</p><ul><li><p>- กรรมพันธุ์</p></li><li><p>- ความเครียด</p></li><li><p>- อาหารเค็ม</p></li><li><p>- การไม่ออกกำลังกาย</p></li><li><p>- โรคประจำตัว เช่น โรคไต หลอดเลือดแข็ง</p></li><li><p>- การใช้ยา เช่น ยาคุมกำเนิด สเตียรอยด์</p></li></ul></li></ul>","<h2><strong>การดูแลและการป้องกัน</strong></h2><ul><li><p>- ควบคุมอาหาร โดยเฉพาะโซเดียม</p></li><li><p>- ลดน้ำหนัก</p></li><li><p>- ออกกำลังกายสม่ำเสมอ</p></li><li><p>- งดสูบบุหรี่ และแอลกอฮอล์</p></li><li><p>- ลดความเครียด</p></li><li><p>- ตรวจวัดความดันโลหิตอย่างสม่ำเสมอ</p></li><li><p>- รับประทานยาตามแพทย์สั่งอย่างต่อเนื่อง</p></li></ul>","<h2><strong>อาการ</strong></h2><ul><li><p>ส่วนใหญ่ไม่แสดงอาการ</p></li><li><p>หากรุนแรงอาจมี:</p><ul><li><p>- ปวดศีรษะ</p></li><li><p>- เวียนศีรษะ</p></li><li><p>- เลือดกำเดาไหล</p></li><li><p>- เหนื่อยง่าย</p></li><li><p>- ใจสั่น</p></li><li><p>- มองเห็นไม่ชัด</p></li></ul></li></ul>","<h2><strong>การติดต่อ</strong></h2><p><strong>ไม่ใช่โรคติดต่อ</strong><br>แต่ <strong>มีปัจจัยทางพันธุกรรม</strong> และพฤติกรรมการดำเนินชีวิตที่อาจถ่ายทอดในครอบครัว</p>"
"15","งูสวัด (Shingles)","งูสวัดเกิดจากเชื้อไวรัส varicella-zoster virus (VZV) ที่เคยทำให้เราเป็นอีสุกอีใสมาก่อน เชื้อไวรัสแฝงในระบบประสาท และอาจกลับมาปะทุเป็นงูสวัดเมื่อภูมิต้านทานลดลง","1","B02.9","<p><strong>รายละเอียดของโรค</strong></p><p>ลักษณะคือผื่นเป็นกลุ่มตุ่มน้ำบนผิวตามแนวเส้นประสาทหนึ่งด้านของร่างกาย บางครั้งอาจเป็นเฉพาะที่หน้า (ophthalmic zoster)</p>","<ul><li><p><strong>วิธีดูแล และ การป้องกัน</strong></p></li><li><p>- รักษาความสะอาด เช็ดน้ำให้แห้ง และห้ามขยี้ตุ่มน้ำ</p></li><li><p>- ใช้ยาแก้ปวด เช่น NSAIDs, ยาแก้ปวดทั่วไป หรือ opioids หลีกเลี่ยงการใช้ติดต่อกันนาน</p></li><li><p>- ประคบทุยเย็น ใส่ครีมทาผิว เช่น calamine หรือยาทาภายนอกเพื่อลดอาการคัน</p></li><li><p><strong>- วัคซีน Shingrix</strong> แนะนำสำหรับผู้สูงอายุ ≥50 ปี และผู้มีภูมิคุ้มกันต่ำ ให้ 2 โดสห่างกัน 2–6 เดือน ลดความเสี่ยงงูสวัดและอาการปวดหลังโรคถึง 90%</p></li></ul>","<ul><li><p><strong>อาการ</strong></p></li><li><p>- มีอาการเจ็บแสบ เหมือนเข็มทิ่ม (prodromal pain) ก่อนผื่นขึ้น</p></li><li><p>- ปรากฏผื่นตุ่มน้ำ ปวด แสบ คัน ตรงแนวเส้นประสาท ฝ่อหรือแตกเป็นสะเก็ดภายใน 7–10 วัน</p></li><li><p>- เมื่อเกี่ยวข้องกับตาอาจมีการติดเชื้อดวงตา เสี่ยงต่อการเสื่อมสายตา ต้องได้รับการดูแลโดยจักษุแพทย์ทันที</p></li></ul>","<ul><li><p><strong>การติดต่อ</strong></p></li><li><p>- ไม่ติดต่อโดยตรงจากผู้มีงูสวัด อย่างไรก็ตาม ผู้ที่ไม่เคยติดเชื้อหรือได้รับวัคซีนอีสุกอีใสมาก่อน อาจติดจากตุ่มน้ำ มีโอกาสติดเป็นอีสุกอีใส ไม่ใช่งูสวัด</p></li><li><p>- หลีกเลี่ยงการสัมผัสกับตุ่มน้ำโดยตรง และควรกักคนไข้ที่ผื่นขึ้นจนแห้ง</p></li></ul>"
"16","ผื่นคันตามตัว (Rash and Itching)","ผื่นคันเป็นอาการทางผิวหนังที่เกิดจากการระคายเคือง การอักเสบ หรือปฏิกิริยาแพ้ มีหลายสาเหตุ เช่น แพ้อาหาร แพ้ยา การติดเชื้อ เชื้อรา หรือแมลงกัดต่อย","1","R21","<p><strong>รายละเอียดของโรค</strong></p><p>ผื่นคันสามารถเกิดได้ทั่วร่างกายหรือเฉพาะบางจุด ขึ้นอยู่กับสาเหตุ อาจเป็นผื่นแดง ผื่นตุ่มน้ำ ตุ่มนูน มีหรือไม่มีน้ำเหลือง มักมาพร้อมกับอาการคัน บางกรณีอาจเกิดจากโรคเรื้อรัง เช่น ผื่นภูมิแพ้ผิวหนัง (Eczema) หรือโรคสะเก็ดเงิน (Psoriasis)</p>","<ul><li><p><strong>วิธีดูแล และ การป้องกัน</strong></p></li><li><p>- หลีกเลี่ยงสิ่งที่กระตุ้น เช่น อาหารที่แพ้ ฝุ่นละออง สารเคมี</p></li><li><p>- รักษาความสะอาดผิวหนัง</p></li><li><p>- ใช้ผลิตภัณฑ์อ่อนโยนต่อผิว</p></li><li><p>- หลีกเลี่ยงการเกา</p></li><li><p>- หากเป็นซ้ำบ่อย ควรพบแพทย์เพื่อหาสาเหตุ</p></li></ul>","<ul><li><p><strong>อาการ</strong></p></li><li><p>- คันบริเวณผิวหนัง</p></li><li><p>- ผื่นแดง บวม ตุ่มน้ำ หรือแผล</p></li><li><p>- ลอกผิว แห้ง ตึง</p></li><li><p>- แสบหรือปวดในบางกรณี</p></li><li><p>- อาจมีไข้ร่วมด้วยหากติดเชื้อ</p></li></ul>","<ul><li><p><strong>การติดต่อ</strong></p></li><li><p>- ส่วนใหญ่ <strong>ไม่ติดต่อ</strong> หากเกิดจากภูมิแพ้</p></li><li><p>- แต่ถ้าเกิดจาก <strong>การติดเชื้อ</strong> (เช่น เชื้อรา, หิด) อาจติดต่อได้ทางการสัมผัส</p></li></ul>"
"17","ฝี (Abscess)","ฝี คือ การอักเสบของเนื้อเยื่อที่เกิดจากการติดเชื้อแบคทีเรีย โดยมีการสะสมของหนองอยู่ภายในร่างกาย เช่น ใต้ผิวหนัง ต่อมน้ำเหลือง หรืออวัยวะภายใน","1","L02.9","<p><strong>รายละเอียดของโรค</strong></p><p>ฝีมักเกิดจากการติดเชื้อแบคทีเรีย เช่น <em>Staphylococcus aureus</em> ซึ่งเข้าไปในร่างกายผ่านรอยถลอก แผล หรือรูขุมขนที่อุดตัน ร่างกายจะตอบสนองด้วยการสะสมเม็ดเลือดขาวบริเวณติดเชื้อ ทำให้เกิดโพรงหนอง</p>","<ul><li><p><strong>วิธีดูแล และ การป้องกัน</strong></p></li><li><p>- รักษาความสะอาดร่างกายและผิวหนัง</p></li><li><p>- อย่าแกะหรือบีบฝีเอง</p></li><li><p>- หลีกเลี่ยงการใช้ของร่วมกับผู้อื่น</p></li><li><p>- หากมีฝีบ่อย ควรตรวจระบบภูมิคุ้มกันหรือระดับน้ำตาลในเลือด</p></li></ul>","<ul><li><p><strong>อาการ</strong></p></li><li><p>- ปวด บวม แดง ร้อน บริเวณที่เป็นฝี</p></li><li><p>- อาจมีหัวฝีเป็นจุดสีขาว/เหลือง</p></li><li><p>- ในรายที่เป็นมากอาจมีไข้</p></li><li><p>- หากฝีอยู่ลึก อาจมีอาการที่ตำแหน่งอื่น เช่น ปวดท้อง เจ็บหน้าอก</p></li></ul>","<ul><li><p><strong>การติดต่อ</strong></p></li><li><p><strong>- ติดต่อได้</strong> ผ่านการสัมผัสโดยตรงกับหนองจากฝี</p></li><li><p>- การใช้ของใช้ร่วมกัน เช่น ผ้า เช็ดตัว หรือมีดโกน อาจแพร่เชื้อได้</p></li><li><p>- โดยเฉพาะหากผู้สัมผัสมีแผลหรือภูมิคุ้มกันต่ำ</p></li></ul>"
"18","ลมพิษ (Hives/Urticaria)","ลมพิษคือภาวะทางผิวหนังที่ทำให้เกิดผื่นนูนแดง คัน มีขนาดและรูปร่างไม่แน่นอน มักเกิดขึ้นทันทีและหายไปภายในไม่กี่ชั่วโมง แต่บางครั้งอาจเกิดขึ้นเรื้อรัง","1","L50.9","<p><strong>รายละเอียดของโรค</strong></p><p>เกิดจากการตอบสนองของระบบภูมิคุ้มกันที่ไวเกินต่อสิ่งกระตุ้น เช่น อาหาร ยา แมลง สารเคมี หรือปัจจัยทางอารมณ์ ร่างกายจะหลั่งสารฮีสตามีน (histamine) ซึ่งทำให้หลอดเลือดขยายและเกิดอาการบวมแดงคันบนผิวหนัง</p>","<ul><li><p><strong>วิธีดูแล และ การป้องกัน</strong></p></li><li><p>- หลีกเลี่ยงสิ่งกระตุ้นที่สงสัย (อาหาร ยา สัตว์ แมลง)</p></li><li><p>- งดเกาแรง ๆ เพราะอาจทำให้ติดเชื้อ</p></li><li><p>- อาบน้ำอุณหภูมิปกติ (ไม่ร้อนจัด)</p></li><li><p>- หลีกเลี่ยงความเครียด และพักผ่อนให้เพียงพอ</p></li><li><p>- ใช้ยาต้านฮีสตามีนเมื่อจำเป็น</p></li></ul>","<ul><li><p><strong>อาการ</strong></p></li><li><p>- ผื่นแดงนูน คัน</p></li><li><p>- รูปทรงไม่แน่นอน และเปลี่ยนที่ได้</p></li><li><p>- อาจมีอาการบวมที่ริมฝีปาก เปลือกตา หรือหน้า</p></li><li><p>- หากเป็นรุนแรง อาจมีอาการหายใจติดขัด (angioedema)</p></li></ul>","<ul><li><p><strong>การติดต่อ</strong></p></li><li><p><strong>ไม่ติดต่อ</strong><br>- ลมพิษไม่สามารถติดต่อจากคนสู่คนได้ เพราะเป็นการตอบสนองของภูมิคุ้มกันภายในร่างกาย</p></li></ul>"
"19","อีสุกอีใส (Chickenpox)","อีสุกอีใสเป็นโรคติดเชื้อไวรัสที่พบได้บ่อยในเด็ก แต่สามารถเกิดขึ้นในผู้ใหญ่ได้เช่นกัน มีลักษณะเด่นคือผื่นตุ่มน้ำใสที่คัน และสามารถติดต่อกันได้ง่าย","1","B01.9","<p><strong>รายละเอียดของโรค</strong></p><p>เกิดจากเชื้อไวรัส <strong>Varicella-zoster virus (VZV)</strong> ซึ่งเป็นไวรัสชนิดเดียวกับที่ทำให้เกิดโรคงูสวัดในผู้ใหญ่ โดยเชื้อนี้จะเข้าสู่ร่างกายผ่านทางระบบหายใจ และกระจายไปทั่วร่างกายผ่านทางกระแสเลือด</p>","<ul><li><p><strong>วิธีดูแล และ การป้องกัน</strong></p></li><li><p>- แยกผู้ป่วยออกจากผู้อื่น โดยเฉพาะผู้ที่ยังไม่เคยเป็น</p></li><li><p>- ห้ามแกะตุ่มน้ำ เพื่อป้องกันแผลเป็น</p></li><li><p>- รักษาความสะอาดร่างกาย</p></li><li><p>- รับวัคซีนป้องกันอีสุกอีใส</p></li><li><p>- ใช้ยาลดไข้หรือยาทาเพื่อลดอาการคันตามคำแนะนำแพทย์</p></li></ul>","<ul><li><p><strong>อาการ</strong></p></li><li><p>- มีไข้ หนาวสั่น</p></li><li><p>- ปวดศีรษะ อ่อนเพลีย</p></li><li><p>- ผื่นแดง ตุ่มน้ำใส คัน</p></li><li><p>- ตุ่มอาจลามทั่วร่างกาย รวมถึงในปากและหนังศีรษะ</p></li><li><p>- หลังจากตุ่มแตก จะตกสะเก็ด</p></li></ul>","<ul><li><p><strong>การติดต่อ</strong></p></li><li><p>- ติดต่อผ่านทางการหายใจ (ไอ จาม)</p></li><li><p>- สัมผัสตุ่มน้ำหรือของใช้ที่ปนเปื้อนเชื้อ</p></li><li><p>- มีระยะฟักตัวประมาณ 10–21 วัน</p></li></ul>"
"20","ไข้หวัดใหญ่ (Influenza/Flu)","ไข้หวัดใหญ่เป็นโรคติดเชื้อไวรัสที่แพร่กระจายได้ง่าย มักระบาดตามฤดูกาล โดยเฉพาะในช่วงอากาศเย็นหรือฤดูฝน และสามารถก่อให้เกิดภาวะแทรกซ้อนรุนแรง โดยเฉพาะในเด็กเล็ก ผู้สูงอายุ และผู้มีโรคประจำตัว","1","J10.1","<p><strong>รายละเอียดของโรค</strong></p><p>เกิดจากเชื้อไวรัสอินฟลูเอนซา (Influenza virus) ซึ่งมีหลายสายพันธุ์ เช่น Influenza A, B และ C โดยสายพันธุ์ A และ B มักเป็นสาเหตุหลักของการระบาดใหญ่</p>","<ul><li><p><strong>วิธีดูแล และ การป้องกัน</strong></p></li><li><p>- ฉีดวัคซีนไข้หวัดใหญ่ปีละ 1 ครั้ง</p></li><li><p>- ล้างมือบ่อย ๆ</p></li><li><p>- หลีกเลี่ยงใกล้ชิดผู้ป่วย</p></li><li><p>- สวมหน้ากากอนามัย</p></li><li><p>- พักผ่อนให้เพียงพอ และดื่มน้ำมาก ๆ</p></li></ul>","<ul><li><p><strong>อาการ</strong></p></li><li><p>- ไข้สูงเฉียบพลัน</p></li><li><p>- ปวดศีรษะ ปวดกล้ามเนื้อ</p></li><li><p>- เจ็บคอ คัดจมูก น้ำมูกไหล</p></li><li><p>- ไอแห้งๆ</p></li><li><p>- อ่อนเพลีย เหนื่อยง่าย</p></li><li><p>- เด็กอาจมีอาเจียนหรือท้องเสียร่วมด้วย</p></li></ul>","<ul><li><p><strong>การติดต่อ</strong></p></li><li><p>- ผ่านทางละอองฝอยจากการไอ จาม</p></li><li><p>- การสัมผัสสิ่งของที่มีเชื้อแล้วนำมือมาสัมผัสปาก/จมูก/ตา</p></li><li><p>- ระยะฟักตัว 1–4 วัน (เฉลี่ย 2 วัน)</p></li></ul>"
"21","แผลพุพองอักเสบ (Blisters and Inflamed Wounds)","แผลผุพองอักเสบคือการเกิดแผลบนผิวหนังที่มีการสะสมของของเหลวภายในผิวหนังชั้นบน และมักจะเกิดการอักเสบร่วมด้วย ทำให้ผิวบริเวณนั้นบวม แดง และเจ็บปวด อาจเกิดจากการติดเชื้อ แผลถลอก หรือการระคายเคือง

","1","T14.0","<ul><li><p><strong>รายละเอียดของโรค</strong></p></li><li><p>แผลผุพองเกิดได้จากหลายสาเหตุ เช่น การสัมผัสความร้อน ความเย็น สารเคมี หรือการเสียดสี</p></li><li><p>หากแผลมีการติดเชื้อแบคทีเรียจะเกิดอาการอักเสบรุนแรงขึ้น เช่น บวม แดง มีหนอง หรือกลิ่นเหม็น</p></li><li><p>อาจเกิดภาวะแทรกซ้อนถ้าไม่ได้รับการรักษาที่เหมาะสม</p></li></ul>","<ul><li><p><strong>วิธีดูแล และ การป้องกัน</strong></p></li><li><p>- รักษาความสะอาดของแผลอย่างสม่ำเสมอ</p></li><li><p>- หลีกเลี่ยงการเกาหรือแกะบริเวณแผล</p></li><li><p>- ใช้ผ้าพันแผลที่สะอาดและเปลี่ยนบ่อย ๆ</p></li><li><p>- หากแผลเริ่มบวมแดงหรือมีหนอง ควรพบแพทย์ทันที</p></li><li><p>- สวมถุงมือหรือป้องกันเมื่อสัมผัสสารเคมีหรือสิ่งที่อาจทำให้ผิวหนังเสียหาย</p></li></ul>","<ul><li><p><strong>อาการ</strong></p></li><li><p>- ผิวหนังบวมแดง</p></li><li><p>- มีตุ่มน้ำหรือพองใส หรือพองขุ่น</p></li><li><p>- เจ็บปวดหรือแสบร้อนบริเวณแผล</p></li><li><p>- อาจมีหนองหรือน้ำเหลืองไหลออกมา</p></li><li><p>- บางครั้งมีไข้ร่วมด้วยในกรณีติดเชื้อรุนแรง</p></li></ul>","<ul><li><p><strong>การติดต่อ</strong></p></li><li><p>- แผลผุพองเองไม่ใช่โรคติดต่อ</p></li><li><p>- แต่ถ้ามีการติดเชื้อแบคทีเรียหรือเชื้อไวรัสที่แผล อาจแพร่เชื้อผ่านการสัมผัสแผลหรือของเหลวในแผลได้</p></li></ul>"
