"ImageID","ImageName","ImageURL","Credit"
"1","กลาก (Ringworm)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749766877/icare/kembxhfmjk9ewgfzurjh.jpg","https://katudermatology.com/post_service/nan/"
"2","COVID-19","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749768546/icare/isojuzjbcczfcxpnynla.png","https://benjarom.com/โรคโคโรนาไวรัส-covid-19-เป็นโร/"
"4","ความดันโลหิตสูง (Hypertension)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749817346/icare/bufpzc2krft8uwcq3qrl.jpg","https://asgwellness.com/การวัดสัญญาณชีพ-ทักษะพี/"
"5","งูสวัด (Shingles)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749817465/icare/kqr9vod8w1oel3nmdpxl.webp","https://www.chularat3inter.com/th/contents/shingles-symptoms-treatment-prevention"
"6","ผื่นคันตามตัว (Rash and Itching)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749817561/icare/sdli52xpsqpp2u7kvhoh.jpg","https://www.johnsonsbaby.co.th/review-and-tips/beauty/causes-of-allergic-rhinitis"
"7","ฝี (Abscess)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749817684/icare/lmth6uswlvuvihiduxnu.jpg","https://www.pobpad.com/ฝี"
"8","ลมพิษ (Hives/Urticaria)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749817843/icare/s0zwuocaytc6h1lj0jpv.png","https://www.rattinan.com/urticaria/"
"9","อีสุกอีใส (Chickenpox)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749817873/icare/rrxbkffin59bof77ylav.jpg","https://th.wikipedia.org/wiki/อีสุกอีใส"
"10","ไข้หวัดใหญ่ (Influenza/Flu)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749817924/icare/dh73w0qpf1dcscjzppnp.jpg","https://www.dibukhospital.com/influenza/"
"11","แผลพุพองอักเสบ (Blisters and Inflamed Wounds)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749817975/icare/kegtz6bcjfovh3i7q2r3.jpg","https://health.kapook.com/view279834.html"
"12","โรคไข้เลือดออก (Dengue Fever)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818004/icare/mb9dp5ykuty0y1lwzlbr.jpg","https://www.tropmedhospital.com/knowledge/dengue.html"
"13","กุ้งยิง (Stye)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818053/icare/xpm2lqiuuf5yphrhdaem.png","https://www.vimut.com/article/Herpes-Simplex-virus"
"14","เริม (Herpes Simplex)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818082/icare/e7vnf3zia6jtydctyz5r.jpg","https://ihealzy.com/allergic-rhinitis-0272/"
"15","คัดจมูกแพ้อากาศ","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818104/icare/tbhlfnoco0voxqmuoy0l.jpg","https://www.siamhealth.net/public_html/Disease/infectious/mumps.htm"
"16","คางทูม (Mumps)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818126/icare/r9fb1l8auxjqihfa19fd.jpg","https://www.siamhealth.net/public_html/Disease/infectious/mumps.htm"
"17","ต่อมทอนซิลอักเสบ (Tonsillitis)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818170/icare/f3y1irydhx6yqo2pwx36.jpg","https://hdmall.co.th/blog/hdcare/tonsil-screening-selfcheck/"
"18","ไซนัสอักเสบ (Sinusitis)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818232/icare/bmv8fkn9h0jdz2ls0vjd.jpg","https://www.health2click.com/2021/06/09/โรคไซนัสอักเสบ-sinusitis/"
"19","เหงือกอักเสบ (Gingivitis)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818260/icare/bovhiyvolrgmasm1tvhd.jpg","https://www.familyfundee.com/dental-blog/inflamed-gums"
"20","คอพอก (Goiter)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818280/icare/nc7qk3oe3vhxr4lbtts7.jpg"," https://www.mccormickhospital.com/web/articles/blogs/nowan"
"21","ความดันต่ำหน้ามืดเวียนศีรษะ (Low Blood Pressure/Hypotension)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818298/icare/tgfxpzqkskgz9msbj5h1.jpg","https://www.istockphoto.com/th/search/2/image-film?phrase=ความด้นโลหิตต่ำ"
"22","ริดสีดวงตา (Subconjunctival Hemorrhage)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818489/icare/bkienjetgkcvloyrmnkk.jpg","https://mgronline.com/qol/detail/9610000067296"
"23","ท้องร่วง (Diarrhea)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818531/icare/elvuvbbwbhldzuayqyoh.jpg","https://www.tropmedhospital.com/knowledge/acute_diarrhea_intro.html"
"24","ท้องเสีย (Dysentery)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818587/icare/xlj9xmxmxldch9cjbrjs.jpg","https://www.pobpad.com/ท้องเสีย"
"25","ใจสั่นใจหวิว (Palpitations)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818643/icare/tiqzm0khndvy8k1sgux7.jpg","https://health.kapook.com/view81002.html"
"26","พยาธิตัวตีด (Tapeworm Infestation)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818670/icare/sfznq5fxfzr5ibas5ifp.jpg","https://cth.co.th/tape-worms/"
"27","พยาธิเส้นด้าย (Threadworm Infestation)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818689/icare/yqwe1jgjpm9hm3jyzvj7.jpg","https://hellokhunmor.com/สุขภาพ/ความรู้เกี่ยวกับสุขภาพทั่วไป/พยาธิ-พบได้ในคน/"
"28","กระเพาะปัสสาวะอักเสบ (Cystitis/Urinary Tract Infection - UTI)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818715/icare/xhimchfyinxn28sa4eus.jpg","https://gentleclinic.co.th/urinary-tract-infection/"
"29","โรคติดต่อทางเพศ (Sexually Transmitted Infections - STIs)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818737/icare/yfqihwsrrbgneub8lyyp.png","https://ch9airport.com/th/โรคติดเชื้อทางเพศสัมพ้/"
"30","เกาต์ (Gout)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818773/icare/cyy2ewfbahcsyo0cqqee.jpg","https://medthai.com/โรคเกาต์/"
"31","ริดสีดวงทวาร (Hemorrhoids)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749818921/icare/spzpyeqvzpkjmjb8bjez.jpg","https://www.rattinan.com/hemorrhoids/"
"32","ถ่ายมูกหรือมูกเลือด (Nasal Discharge or Nosebleeds)","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749819051/icare/knvilkastglhopfms3kg.jpg","https://www.vimut.com/article/Blood-in-stool"
"33","รถล้มการปฐมพยาบาลและการเคลื่อนย้ายผู้ป่วยในที่เกิดเหตุ","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749819078/icare/pjk08t6gsipeztvzqkrq.jpg","https://th.theasianparent.com/มอเตอร์ไซค์ล้มตอนท้อง"
"34","ตกจากที่สูง","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749819116/icare/ljjj2apqb1ak7eay8wi2.jpg","https://glovetex.com/working-at-heights-safety-techniques/"
"35","บาดเจ็บจากการเล่นกีฬา","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749819167/icare/yuh2as6q3vqystayuacj.jpg","https://www.bangkokhospital.com/th/bangkok/content/5-injuries-from-sports"
"36","ก้างปลาติดคอ","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749819199/icare/x7pjilpfzcfzcyf1bdnx.jpg","https://health.kapook.com/view134701.html"
"37","บาดเจ็บจากของมีคม","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749819228/icare/zhzfcwvfryhlsuacw2j1.jpg","https://www.scimath.org/other-article/item/7386-2017-07-20-07-29-12"
"38","การแก้ปัญหาการนอนหลับ","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749819723/icare/o3ckdtnyngb5teeeyaqs.jpg","https://www.maikron.co.th/insomnia-older/"
"39","การรับมือความเครียดทางจิตใจ","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749819767/icare/ckguwf1esjnth1enopsg.jpg","https://www.si.mahidol.ac.th/th/healthdetail.asp?aid=1492"
"40","การปฐมพยาบาลด้วยผ้าพันแผล","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749819781/icare/ug4akhaorjcpcu7otvt8.jpg","https://www.healthdome.me/บทความสุขภาพ-en/การปฐมพยาบาลเบื้องต้น-ก/"
"41","การเลือกใช้ยาสามัญประจำบ้าน","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749819809/icare/ek6cs0rwqjrzk6her0iu.jpg","https://health.kapook.com/view266928.html"
"42","อาหารช่วยการนอนหลับ ผ่อนคลายสมอง","http://res.cloudinary.com/dcq3ijz0g/image/upload/v1749820268/icare/prnwegzp7pgyn9w73mmq.jpg","https://www.bangkokhospital.com/th/bangkok/content/7-tips-for-difficult-sleepers"
