"MedicationID","MedicationName","GenericName","DosageForm","Strength","Indications","SideEffects","Contraindications","SymptomsDrugAllergies","TreatDrugAllergies"
"1","Lamisil","Terbinafine","เม็ด","250 mg","รักษาเชื้อราที่ผิวหนัง เช่น กลากเกลื้อน เชื้อราที่เท้า และเชื้อราที่เล็บ","คลื่นไส้","โรคตับรุนแรง (สำหรับยารับประทาน)","ผื่นแดง  คันตามผิวหนัง  บวมบริเวณหน้า ริมฝีปาก ลิ้น หรือคอ  หายใจลำบาก  มีไข้ร่วมกับอาการผิวหนังพุพอง หรือผิวลอก (เป็นอาการแพ้รุนแรง)","หยุดยา ทันทีที่พบอาการแพ้

พบแพทย์หรือไปโรงพยาบาล ทันทีหากมีอาการรุนแรง เช่น หายใจลำบากหรือบวมที่ใบหน้า

อาจได้รับการรักษาด้วย ยาต้านฮีสตามีน หรือ ยาสเตียรอยด์ ขึ้นกับระดับความรุนแรง

ในกรณีแพ้รุนแรง (anaphylaxis) แพทย์อาจต้องใช้ Epinephrine (อะดรีนาลีน)"
"4","Norvasc","Amlodipine","เม็ด","5 mg, 10 mg","รักษาความดันโลหิตสูง, ป้องกันโรคหลอดเลือดหัวใจ","ขาบวม, เวียนหัว, ใจสั่น","ผู้แพ้ยาในกลุ่ม calcium channel blockers","ผื่น, หายใจลำบาก, หน้าบวม","หยุดยา, พบแพทย์, ให้ยาแก้แพ้หรืออะดรีนาลีนในกรณีรุนแรง"
"5","Famvir","Famciclovir","เม็ด","500 mg","รักษางูสวัด, เริม, อีสุกอีใส","คลื่นไส้ อาเจียน ปวดศีรษะ ท้องเสีย ปวดท้อง","ผู้ที่แพ้ยาในกลุ่ม antiviral, ผู้ป่วยไตวายรุนแรง","ผื่นลมพิษ หายใจลำบาก บวมรอบตา/ปาก","หยุดยา พบแพทย์ทันที ให้ยาต้านอาการแพ้ (antihistamine, corticosteroids) และดูแลระบบทางเดินหายใจหากมีอาการรุนแรง"
"6","Cetirizine","Cetirizine","เม็ด","10 mg","บรรเทาอาการคันจากการแพ้ แมลงกัด หรือระคายเคืองผิว","ง่วงนอน","ห้ามใช้กับผู้แพ้ส่วนประกอบของยา","ผื่นลมพิษ  หายใจลำบาก  หน้าบวม ปากบวม ตาบวม  ช็อกจากการแพ้รุนแรง (anaphylaxis)","หยุดใช้ยาทันที

รับประทานยาแก้แพ้ (เช่น Diphenhydramine)

หากรุนแรงต้อง รีบนำส่งโรงพยาบาล และอาจต้องฉีด Epinephrine"
"7","Augmentin","Amoxicillin + Clavulanic acid","เม็ด","500 mg","รักษาการติดเชื้อแบคทีเรียในผิวหนัง เช่น ฝี, หนอง, แผลติดเชื้อ","คลื่นไส้ อาเจียน  ท้องเสีย  ผื่นแพ้  เจ็บท้อง","ห้ามใช้ในผู้ที่แพ้ยาเพนิซิลลิน  ผู้มีประวัติโรคตับรุนแรง","ผื่นลมพิษ  หายใจติดขัด  หน้าบวม คอบวม  ช็อกจากการแพ้ (anaphylaxis)","หยุดยาและพบแพทย์ทันที

ให้ยาแก้แพ้ เช่น Diphenhydramine

ในกรณีรุนแรงฉีด Epinephrine และเข้ารับการรักษาในโรงพยาบาล

"
"8","Clarityne","Loratadine","เม็ด","10 mg","บรรเทาอาการคัน และผื่นจากลมพิษ  ใช้ในผู้ที่มีอาการแพ้เรื้อรัง เช่น จาม น้ำมูกไหล","ง่วงซึม (พบได้น้อยกว่ารุ่นเก่า)  ปากแห้ง  เวียนศีรษะ  ปวดศีรษะ","ห้ามใช้ในผู้ที่แพ้ Loratadine หรือสารในตัวยา  หญิงตั้งครรภ์ควรปรึกษาแพทย์ก่อนใช้","ผื่นแดงทั่วตัว  หายใจติดขัด  หน้าบวม ลิ้นบวม  แน่นหน้าอก","หยุดยาโดยทันที

พบแพทย์ด่วน

ให้ยาต้านการแพ้ เช่น Diphenhydramine

หากรุนแรงอาจต้องฉีด Epinephrine"
"9","Zovirax","Acyclovir","เม็ด","800 mg","ใช้รักษาการติดเชื้อไวรัส VZV  ลดความรุนแรงของโรค และป้องกันภาวะแทรกซ้อน","คลื่นไส้ อาเจียน  เวียนศีรษะ  ผื่นแพ้  ท้องเสีย","ห้ามใช้ในผู้แพ้ Acyclovir หรือยากลุ่มเดียวกัน  ควรปรึกษาแพทย์ก่อนใช้ในหญิงตั้งครรภ์หรือให้นมบุตร  ระวังการใช้ในผู้มีปัญหาไต","ผื่นแดง  ลมพิษ  หน้าบวม  หายใจลำบาก","หยุดใช้ยาทันที

รีบพบแพทย์หรือไปโรงพยาบาล

อาจได้รับยาแก้แพ้ หรือฉีดอะดรีนาลีนในกรณีรุนแรง"
"10","Tamiflu","Oseltamivir","เม็ด","75 mg","รักษาอาการไข้หวัดใหญ่ชนิด A และ B  ใช้ในช่วง 48 ชั่วโมงแรกของการเริ่มมีอาการ เพื่อผลการรักษาที่ดีที่สุด","คลื่นไส้ อาเจียน  ปวดท้อง  วิงเวียน  อาการทางจิต เช่น หงุดหงิด หรือสับสน (พบได้น้อยในเด็ก)","ผู้แพ้ยา Oseltamivir  หญิงตั้งครรภ์และให้นมบุตรควรปรึกษาแพทย์ก่อนใช้ยา","ผื่น ลมพิษ  หายใจลำบาก  หน้าบวม ริมฝีปากบวม","หยุดใช้ยา

ให้ยาแก้แพ้ เช่น Diphenhydramine

หากรุนแรง ให้ฉีด Epinephrine และนำส่งโรงพยาบาลทันที

"
"11","Bactroban","Mupirocin","ทา","2%","รักษาแผลติดเชื้อแบคทีเรียที่ผิวหนัง เช่น แผลผุพองอักเสบ","ระคายเคืองผิวหนังบริเวณที่ทา  แสบหรือคันเล็กน้อย  ผื่นแพ้","แพ้ยา Mupirocin หรือส่วนประกอบในยา  ห้ามใช้ในบริเวณตาหรือเยื่อเมือก","ผื่นลมพิษ  บวมใบหน้า หรือปาก  หายใจลำบาก","หยุดใช้ยา

ใช้ยาแก้แพ้ เช่น antihistamines

หากรุนแรง อาจต้องรับการรักษาในโรงพยาบาล"
"12","Paracetamol","Paracetamol (Acetaminophen)","เม็ด","500 mg","ลดไข้  บรรเทาอาการปวด","มีโอกาสเกิดความเสียหายที่ตับหากใช้เกินขนาด","แพ้พาราเซตามอล  ผู้ที่มีโรคตับรุนแรงควรระวัง","ผื่นลมพิษ  บวมหน้าหรือริมฝีปาก  หายใจลำบาก","หยุดใช้ยา

รับประทานยาต้านฮิสตามีน (Antihistamines)

รีบพบแพทย์หากอาการรุนแรง"
