"VideoID","VideoName","VideoURL"
"1","กลาก (Ringworm)","https://youtu.be/RmNqEtn1314?si=guCxrm6CThwRbNJA"
"2","COVID-19","https://youtu.be/xpuJVpc1JeY?si=qu_9vxfnCiKELavk"
"4","งูสวัด (Shingles)","https://youtu.be/lmJl53QebMU?si=J4c8LSYw8ugi756A"
"5","แก้ปัญหาการนอนหลับ","https://youtu.be/OFhTH6FYG7Y?si=4kRU1kASP6LoAw0o"
"6","รับมือความเครียดทางจิตใจ","https://youtu.be/WG-sv15Nogc?si=lERKhM9Pt5bOG13x"
"7","การปฐมพยาบาลด้วยผ้าพันแผล","https://youtu.be/_Ra0OAvFdBE?si=-CkAA-ylO9rokpcp"
"8","การเลือกใช้ยาสามัญประจำบ้าน","https://youtu.be/To32yXMZ5n4?si=xi_P6oyrIRt1KItU"
"9","อาหารช่วยการนอนหลับ ผ่อนคลายสมอง","https://youtu.be/jlQRAdrRpkw?si=KJuIN9x6kwWjT-CI"
"10","ความดันโลหิตสูง (Hypertension)","https://youtu.be/C2tZEGk0HIM?si=7PtoRWGk8ImhJ1GG"
"11","ผื่นคันตามตัว (Rash and Itching)","https://youtu.be/JTJ5D64iiKM?si=-OUnv9TzcWG69g4T"
"12","ฝี (Abscess)","https://youtu.be/Lu3ONQPZwqw?si=3x9wl8sanY1FS39x"
"13","ลมพิษ (Hives/Urticaria)","https://youtu.be/EcJ1DLoTEuQ?si=USH5vb9gV7LbpTQ8"
"14","อีสุกอีใส (Chickenpox)","https://youtu.be/YzMG3iDysUQ?si=EcLoDVf-7AUcl_nM"
"15","ไข้หวัดใหญ่ (Influenza/Flu)","https://youtu.be/AD3n8Ii5g7M?si=SEdMKRLxy5ZJRz2F"
"16","แผลผุพองอักเสบ (Blisters and Inflamed Wounds)","https://youtu.be/jSTJA1cltvU?si=Yat9T37V0ieD8_Vs"
"17","โรคไข้เลือดออก (Dengue Fever)","https://youtu.be/Lspd7XHAvLw?si=3g9uTdBdHpGO8EX1"
"18","กุ้งยิง (Stye)","https://youtu.be/oj_3BZWLsV4?si=dRKg_DcV3u_NuK0m"
"19","เริม (Herpes Simplex)","https://youtu.be/lxHrJK_o57I?si=Gqyq0ed03IvQslFG"
"20","คัดจมูกแพ้อากาศ","https://youtu.be/pwFwQSGmg8s?si=LZQt4yl7Rv3KEmE7"
"21","คางทูม (Mumps)","https://youtu.be/QkncouXudIc?si=hlDU-MOw68v3Jubr"
"22","ต่อมทอนซิลอักเสบ (Tonsillitis)","https://youtu.be/P4z2dL3Zqvs?si=T3XL_S_SidjNBdb0"
"23","ไซนัสอักเสบ (Sinusitis)","https://youtu.be/2QGHY5ybkts?si=2OgqStCE2_htV6vv"
"25","ความดันต่ำหน้ามืดเวียนศีรษะ (Low Blood Pressure/Hypotension)","https://youtu.be/UnAgwWfDIww?si=gRDLEoZojT_mLi2b"
"26","ริดสีดวงตา ","https://youtu.be/gPhrfhm-xRM?si=sqFstCjYhSKrbY1q"
"27","ท้องร่วง (Diarrhea)","https://youtu.be/1i6RXLm-Evs?si=lV_ocTykDWKVfDXn"
"28","ท้องเสีย (Dysentery)","https://youtu.be/JwB31w-E5Gc?si=wmOFZWgr_TJdYskl"
"29","ใจสั่นใจหวิว (Palpitations)","https://youtu.be/2Rnw2ajZOhE?si=qcxejwN9I-x8jDyd"
"30","กระเพาะปัสสาวะอักเสบ (Cystitis/Urinary Tract Infection - UTI)","https://youtu.be/UFA1NHMS05o?si=CvBcDWFQK3bG-7GL"
"31","โรคติดต่อทางเพศ (Sexually Transmitted Infections - STIs)","https://youtu.be/qmByRyVGyiE?si=AdId4ebjLOLJSUw6"
"32","เกาต์ (Gout)","https://youtu.be/IVySF1vznHA?si=MoIGwjkEELsLctC_"
"33","ริดสีดวงทวาร (Hemorrhoids)","https://youtu.be/DawSzuM7MGE?si=656fIH0uEwq8CZBC"
"34","ถ่ายมูกหรือมูกเลือด (Nasal Discharge or Nosebleeds)","https://youtu.be/_iK7j2Ie1dg?si=LgDzvD_gIjtQ7zv0"
"35","บาดเจ็บจากการเล่นกีฬา","https://youtu.be/SxZ2uVqrZ60?si=WlMXYrCuNuoi_jRE"
"36","ก้างปลาติดคอ","https://youtu.be/ikzTrNadepA?si=apEKjf4U-pgLfVVi"
"37","บาดเจ็บจากของมีคม","https://youtu.be/PKuYV_d1zes?si=qMLyzciijvdA9pZY"
